
Dataset: wisconsin():
======================
Number of graphs: 1
Number of features: 1703
Number of classes: 5

Data(x=[251, 1703], edge_index=[2, 515], y=[251], train_mask=[251, 10], val_mask=[251, 10], test_mask=[251, 10])
===========================================================================================================
Shape of the new adjacency matrix:  torch.Size([251, 251])
Number of nodes:  251
Number of edges:  515
Density:  0.0082
Maximum node degree:  122
Minimum node degree:  0
Average node degree:  2
Has isolated nodes: False
Has self-loops: True
Is undirected: False
===========================================================================================================
Device:  cuda:0
===========================================================================================================
Split:  0
===========================================================================================================
Epoch: 120, Loss: 0.7130, Train Acc: 1.0000, Val Acc: 0.8250, Test Acc: 0.8235
Epoch: 121, Loss: 0.7583, Train Acc: 0.9833, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 122, Loss: 0.7035, Train Acc: 1.0000, Val Acc: 0.9000, Test Acc: 0.8235
Epoch: 123, Loss: 0.7412, Train Acc: 0.9833, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 124, Loss: 0.7061, Train Acc: 1.0000, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 125, Loss: 0.7072, Train Acc: 1.0000, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 126, Loss: 0.7311, Train Acc: 0.9917, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 127, Loss: 0.6936, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 128, Loss: 0.7356, Train Acc: 0.9750, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 129, Loss: 0.6994, Train Acc: 1.0000, Val Acc: 0.8625, Test Acc: 0.8039
Epoch: 130, Loss: 0.7047, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.7843
Epoch: 131, Loss: 0.7243, Train Acc: 0.9833, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 132, Loss: 0.7028, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 133, Loss: 0.6967, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 134, Loss: 0.7106, Train Acc: 0.9833, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 135, Loss: 0.6937, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 136, Loss: 0.6909, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 137, Loss: 0.7029, Train Acc: 0.9917, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 138, Loss: 0.6925, Train Acc: 0.9917, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 139, Loss: 0.7021, Train Acc: 0.9917, Val Acc: 0.8625, Test Acc: 0.8039
Epoch: 140, Loss: 0.6985, Train Acc: 0.9917, Val Acc: 0.8250, Test Acc: 0.8235
Epoch: 141, Loss: 0.7009, Train Acc: 0.9917, Val Acc: 0.8375, Test Acc: 0.8039
Epoch: 142, Loss: 0.7056, Train Acc: 0.9833, Val Acc: 0.8625, Test Acc: 0.8039
Epoch: 143, Loss: 0.6986, Train Acc: 0.9917, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 144, Loss: 0.6918, Train Acc: 0.9917, Val Acc: 0.9000, Test Acc: 0.8039
